doc_id,text,topic,probability
10,politeknik elektronika negeri pens cara resmi kukuh ribu mahasiswa baru angkat dalam buah prosesi yang sarat akan makna acara ini jadi momen sejarah yang tanda langkah awal para mahasiswa baru tapak jalan akademik di politeknik nomor satu di indonesia menteri didik tinggi sains dan teknologi mendiktisaintek prof brian yuliarto st meng phd dalam sambut beri pesan inspiratif tegas bahwa mahasiswa adalah garda depan dalam dorong transformasi digital dan inovasi teknologi demi antar indonesia tuju visi besar indonesia emas mahasiswa baru dari bagai daerah di indonesia tampak antusias kumpul dengan penuh bangga kena atribut almamater pens dengan latar semangat sama dan tekad bentuk wujud nyata dari generasi muda yang tangguh adaptif dan siap kontribusi nyata bagi maju bangsa di era teknologi yang kian pesat lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens pkkmb mabapens,0,0.7762877
11,sambut menteri didik tinggi sains dan teknologi halo sobatpens sidang senat buka dan studium generale dalam rangka kukuh mahasiswa baru gelar pada jumat menteri didik tinggi sains dan teknologi prof brian yuliarto phd beri sambut kepada mahasiswa baru pens yuk simak sama video politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak mendiktisaintek kampusinovasi pkkmb,0,0.77851474
12,halo sobatpens bapak direktur dring ir arif irwansyah st mt serta jajar kenal jajar direksi dan beri arah kepada mahasiswa baru pada senin dalam sesi arah ini mahasiswa baru ajak untuk kenal lebih dekat sosoksosok pimpin kampus mulai dari direktur wakil direktur ketua jurus hingga para kaprodi yang masingmasing sampai visi harap dan semangat kolaborasi untuk cipta lingkung akademik yang inovatif adaptif dan inklusif yuk simak di reels ikut politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak pkkmb technogearpens,0,0.8037692
13,politeknik elektronika negeri pens gelar giat kenal hidup kampus bagi mahasiswa baru pkkmb yang ikut cara resmi oleh mahasiswa baru dari program studi giat yang laksana cara hybrid ini akan langsung lama tiga hari dari hari senin hingga rabu hadir bagai materi yang rancang untuk bekal mahasiswa baru dengan tahu putar sistem akademik etika budaya serta nilainilai yang junjung tinggi di pens lalu pkkmb mahasiswa harap mampu adaptasi dengan cepat bangun jejaring positif serta tumbuh rasa bangga dan tanggung jawab bagai bagi dari keluarga besar pens belum mulai jalan akademik mereka lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens pkkmb,0,0.7626276
14,halo sobatpens konferensi internasional tahun pens international electronics symposium ies kembali helat pada selasa hingga kamis agenda ini ambil lokasi di doubletree by hilton serta cara hybrid via zoom video conference usung tema intelligent connectivity enabling green ict in emerging technology services for sustainable living ies undang empat keynote speakers alam serta hadir para teliti akademisi dan pakar industri tahun ini banyak paper dengan fokus pada manfaat teknologi bagi hidup lanjut hasil terima dan presentasi yuk simak reels ikut ini dan intip seru rangkai ies politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens ies,0,0.641722
15,bagai tahap awal belum mula masa studi pens kembali gelar psikotes untuk sehat mental mahasiswa baru tahun giat ini awal dengan isi jumlah tanya cara serentak lalu smartphone lanjut dengan sesi wawancara dan observasi cara langsung psikotes laksana di dua lokasi yaitu ruang auditorium lt dan area lt gedung pascasarjana pens yang bagi dalam tiga kloter lama tiga hari sejak rabu hingga jumat damping oleh satu tugas cegah dan tangan keras seksual satgas ppks pens serta kerja sama dengan psikolog dari kimia farma giat ini anggap sangat penting bagai langkah preventif utama bagi mahasiswa yang baru mulai hidup kampus berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens psikotest psikologi satgasppkptpens satgasppkpt,0,0.7444571
16,guest lecture international data science community speaker yusuke takahashi phd department of data science musashino university japan thursday th august wib postgraduate building rd floor pens politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak guestlecture japan datascience,0,0.47690937
17,kongres dan reuni akbar ika pens cak dan ning alumni pens cinta di hari yang penuh bahagia moga kita dapat sua dalam kongres dan reuni akbar ika pens lang sama dampak nyata yang insyaallah akan laksana pada haritanggal sabtu agustus waktu wib tempat auditorium s pens acara kongres dan reuni akbar ika pens hadir dan riah oleh dringir arif irwansyah direktur pens profdrir muhammad nuh dea cak diet radityodirektur airnav indonesiapens cak galang romadhon umkm eksportirpens cak pepengstand up comedypens saxono band performance form daftar serta htm orang free kaos ekslusif bagi alumni yg sedia untuk donasi giat reuni akbar dan konggres bisa laku sawer per angkat atau pribadi sawer dapat kirim ke rek bank mandiri an ikapens uburubur ikan lele dulur saweranee leee cp reuni dan kongres ika pens ning ummul ning chindona kesan dalam kan selalu kenang moga cak dan ning kenan,0,0.71531343
18,dalam rangka kenal potensi riset kini politeknik elektronika negeri pens gelar event tahun international electronics symposium ies seminar yang selenggara di double tree hotel ini rupa kolaborasi antara pens dan ieee langsung lama hari dari tanggal agustus forum ilmiah ini ikut oleh para teliti sekaligus kembang teknologi dari dalam dan luar negeri seminar ini ambil topik intelligent connectivity enabling green ict in emerging technology services for sustainable living yang tekan pada integrasi dan kelola lalu lintas data bas ai untuk terap dalam bagai sektor lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens ies,0,0.6496645
19,selamat datang mahasiswa baru pens siap langkah pertama tuju masa depan gemilang sama keluarga besar politeknik elektronika negeri agenda psikotest agustus kampus pens mari satu karya dan inovasi untuk indonesia yang lebih maju satgasppkpt satgasppkptpens pensantikekerasan bersamaciptakanpensaman kampusberdampak,0,0.8731996
20,kembali bukti unggul di kancah vokasi tim yang anggota mahasiswa sarjana terap teknik komputer pens sukses toreh prestasi pada olimpiade vokasi indonesia olivia ke di universitas brawijaya lewat inovasi nama smartmedbox tim bayuraksaka raih juara bidang information technology tangkai lomba smart systems iot dalam kompetisi yang langsung sejak selasa hingga kamis sebut capai ini oleh usai presentasi dan demonstrasi cara luring lawan tujuh final lain asal bagai guru tinggi di indonesia berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi banggapens oliviax smartmedbox,0,0.79235554
21,dua orang mahasiswa pens dafit ody endriantono dan m krisnanda vilovan beri edukasi kait inovasi di bidang tani kepada siswa siswi kelas xii jurus rekayasa perangkat lunak rpl smkn kamis minggu lalu giat edukasi ini masuk program yuk kenal teknologi kolaborasi humas pens dengan sekolahsekolah program yang usung sejak tahun ini rupa salah satu bentuk dukung nyata pens hadap tingkat paham publik kait teknologi kini dan inovasi kampus lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusberdampak kampusinovasi smknsurabaya aquaculture,0,0.6428925
22,halo sobatsaintek direktur jenderal sains dan teknologi ahmad najib burhan laku kunjung ke politeknik elektronika negeri pens pada dalam kunjung ini ahmad najib tinjau langsung bagai inovasi dan produk teknologi karya sivitas akademika pens kunjung itu juga jadi momentum diskusi kena kuat ekosistem riset dan hilir inovasi di guru tinggi giat ini rupa bagi dari komitmen ditjen saintek dalam dorong inovasi lanjut di guru tinggi yang relevan dengan butuh industri dan masyarakat sinergi antara perintah dan guru tinggi harap dapat akselerasi maju indonesia dalam bidang sains dan teknologi ditjensaintek pens inovasiteknologi perguruantinggi sainsuntukindonesia,0,0.74132323
23,halo sobatpens pens bagai salah satu institusi didik tinggi muka di bidang elektronika dan teknologi terus komitmen untuk hasil inovasi yang manfaat bagi industri dan masyarakat dalam rangka kuat sinergi antara perintah dan kampus vokasi unggul pens terima kunjung hormat dari direktur jenderal sains dan teknologi menteri didik budaya riset dan teknologi kemdiktisaintek prof dr ahmad najib burhan ma pada kamis kunjung ini sambut langsung oleh direktur pens dring ir arif irwansyah st meng serta jajar pimpin dan dosen teliti yuk simak arah dan video ikut video humas pens politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi dirjensaintek,0,0.69052625
24,guna nilai maju dan siap ide tim program kreativitas mahasiswa pkm ke tahap nilai maju laksana pkm pkp pens cara internal ada giat monitoring dan evaluasi monev tahap pertama giat ini laksana pada rabu di ruang ps gedung pascasarjana pens banyak lima tim yang lolos dana usai presentasi konsep inovatif mereka di hadap tiga reviewer dari pens untuk oleh umpan balik konstruktif guna kembang inovasi mereka berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens moneviinternal pkmpens pensmenujujuara,0,0.83903116
25,politeknik elektronika negeri pens bagai salah satu institusi didik tinggi muka di bidang elektronika dan teknologi terus komitmen untuk hasil inovasi yang manfaat bagi industri dan masyarakat dalam rangka kuat sinergi antara perintah dan kampus vokasi unggul pens terima kunjung hormat dari direktur jenderal sains dan teknologi menteri didik budaya riset dan teknologi kemdiktisaintek prof dr ahmad najib burhan ma pada kamis kunjung ini sambut langsung oleh direktur pens dring ir arif irwansyah st meng serta jajar pimpin dan dosen teliti agenda utama kunjung adalah silaturahmi sekaligus diskusi strategis kait kembang inovasi kuat ekosistem riset serta hilir produk teknologi hasil karya civitas akademika lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak banggapens kampusinovasi dirjensaintek,0,0.7749399
26,timeline pkkmb kenal kampus pens adalah giat wajib yang jadi langkah pertama mahasiswa baru kenal dunia kampus mulai dari sistem kuliah nilai bangsa adaptasi yang sehat positif peduli lingkung sampai paham tentang hak dan wajib bagai mahasiswasemuanya kupas tuntas di sini kukuh oleh senat giat seremonial yang tanda cara resmi terima mahasiswa baru bagai bagi dari civitas akademika pens acara ini jadi momen penting dalam rangkai giat sambut mahasiswa baru sekaligus bagai bentuk aku dari pimpin guru tinggi hadap mahasiswa yang telah lolos seleksi dan siap tempuh didik tinggi technogear bagi seru dari pkkmb yang bikin kamu lebih dekat dengan dunia akademik dan komunitas jurus ada briefing fgd kampus lab tour hingga inagurasi yang bangun semangat kolaborasi dan inovasi sejak hari pertama mbex minat bakat expo bingung mau aktif di mana di mbex kamu bisa eksplor semua ukm komunitas kece di pens suka seni teknologi olahraga budaya semua ada di sini siap saat tumbuh kontribusi dan jadi versi baik dari diri di kampus ini politeknik politeknikjoss pens pensjoss diktisaintekberdampak banggapens pkkmbpens technogear mbex mahasiswabaru pens,0,0.7219448
27,want to turn your passion for gaming into a career join our guest lectures and connect with the professionals behind the scenes building a career in the gaming industry,2,0.44701928
28,terima kasih atas kunjugannya jurus teknik elektro dan mekatronika politeknik negeri cilacap pnc di politeknik elektronika negeri pens pada rabu juli politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens kunjunganpens,0,0.716454
29,dalam rangka kuat sinergi antar guru tinggi jajar direksi politeknik elektronika negeri pens laku kunjung silaturahmi ke institut teknologi puluh nopember its pada kamis yang tempat di ruang tamu rektor its lantai gedung rektorat giat ini jadi bagi dari komitmen pens untuk jalin kolaborasi strategis dengan institusi didik tinggi khusus dalam kembang didik kolaborasi riset serta inovasi teknologi lalu temu ini dua institusi bahas potensi kerja sama lintas bidang yang lanjut guna kuat kontribusi nyata bagi maju didik tinggi nasional dan tingkat daya saing sdm indonesia di tingkat global lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens,0,0.81112427
30,pimpin dan segenap dosen politeknik elektronika negeri sampai apresiasi dan ucap terima kasih yang setinggitingginya kepada presiden republik indonesia menteri didik tinggi sains dan teknologi sekretaris jenderal kemendiktisaintek seluruh jajar di kemendiktisaintek serta semua pihak yang turut kontribusi atas perhati dan komitmen yang luar biasa dalam tingkat sejahtera dosen lalu cair tunjang kerja tukin perhati ini jadi semangat baru bagi kami untuk terus kontribusi dalam tingkat mutu didik tinggi di indonesia moga komitmen dan bijak ini bawa baik yang lanjut bagi dunia didik dan bangsa indonesia politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens,0,0.6993139
31,direktur politeknik elektronika negeri pens dring ir arif irwansyah st meng resmi lantik dr ir firman arifin st mt bagai wakil direktur bidang kerja sama hubung masyarakat dan sistem informasi serta guru besar dan jabat struktural lantik yang pimpin langsung oleh direktur pens di ruang auditorium lantai gedung pascasarjana pada senin ini jadi bagi dari upaya strategis institusi dalam kuat sektor kolaborasi komunikasi publik serta kembang sistem informasi bas teknologi momentum ini sekaligus tegas komitmen pens dalam hadir tata kelola yang adaptif inovatif dan responsif hadap kembang zaman lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens,0,0.8056258
32,pens masih buka sempat buat kamu di jalur seleksi simandiri gelombang masih ada sempat besar untuk gabung jadi mahasiswa hebat pens catat tanggal penting dan informasi lengkap kunjung web pmbpensacid pmbpensacid pmbpensacid kami tunggu gabung kalian di kampusinovasi see you there politeknik politeknikjoss pens pensjoss simandiripens pmb jalurmandiri banggapens,0,0.78929275
33,jakarta politeknik elektronika negeri pens kembali toreh prestasi nasional dengan terima harga years of impact award dari pertamina foundation dalam kick off pertamina goes to campus pgtc yang ada di ballroom grha pertamina jakarta pada kamis pens jadi satusatunya politeknik di indonesia yang raih harga ini bagai bentuk apresiasi atas kontribusi aktif dalam lahir wirausaha muda dampak lalu program pertamuda seed scale lama periode wakil direktur bidang mahasiswa dan alumni kholid fathoni skom mt sampai bahwa harga ini jadi bukti nyata atas komitmen pens dalam dukung kembang startup bas teknologi lalu program inkubator bisnis penssky venture kampus terus dorong inovasi dan kolaborasi antara mahasiswa akademisi serta industri politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens pertaminagoestocampus,0,0.75766444
34,sumedang telah saing sengit dengan tim dari bagai guru tinggi di seluruh indonesia tim robotika eepis intelligent robot abu eira pens hasil raih juara dalam ajang kontes robot abu indonesia krai kompetisi ini selenggara pada senin hingga selasa di gor futsal institut teknologi bandung itb jatinangor dengan kategori tema robot basketball dalam ajang ini tim eira kerah dua robot andal robot pertama nama arcane yang milik mekanisme passing dan shooting sedang robot dua nama dbrayon dengan mekanisme dribble dan shooting politeknik politeknikjoss pens pensjoss banggapens kampusvokasi kampustradisijuara kampusinovasi krai krai kri roadtokrai belmawa kontesrobotabuindonesia,1,0.80652344
35,selamat dan sukses atas capai tim robot eira pens juara kontes robot abu indonesia krai yang selenggara di kampus itb jatinangor sumedang pada tanggal juli politeknik politeknikjoss pens pensjoss diktisainterberdampak kampusinovasi krai,1,0.87229025
36,selamat tanding kepada tim robot eira pens dalam ajang kontes robot abu indonesia krai di itb moga semangat tanding dapat raih juara politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi krai,1,0.88176155
37,politeknik elektronika negeri pens kembali selenggara final project competition fpc pada selasa hingga kamis tempat di ruang auditorium lantai gedung pascasarjana pens giat tahun ini tampil lebih dari karya inovasi dari mahasiswa tingkat akhir yang cermin kolaborasi antara teknologi kreativitas dan solusi aplikatif untuk butuh industri dan masyarakat acara ini jadi ajang strategis untuk nilai apresiasi sekaligus promosi hasil riset dan proyek akhir para mahasiswa lintas program studi lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens fpc fpc,0,0.8286183
38,direktur politeknik elektronika negeri pens periode dring ir arif irwansyah st meng cara resmi lantik para wakil direktur untuk masa jabat dalam buah upacara yang langsung khidmat di lingkung kampus pens pada selasa di ruang innovation start up lantai lima gedung pascasarjana lantik ini lanjut dengan serah terima jabat dari wakil direktur periode belum kepada jabat baru lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens,0,0.82808137
39,pens kampus sumenep selain di dan lamongan pens juga jadi kampus negeri satusatunya akreditasi unggul yang ada di ujung timur pulau madura yakni sumenep penasaran gasss ayo poin rek kamu saat ini masih peluang daftar jadi mahasiswa baru di simandiri gelombang daftar simandiri gel juli informasi resmi daftar mahasiswa baru kunjung web pmbpensacid politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens penskampussumenep sumenep,0,0.8027918
40,ini lhoo rek satusatu kampus negeri di lamongan yang jurusane sangat relate dengan kondisi dunia digital hari ini dan mesa depan nanti rek gaass poin yo rek kamu saat ini masih peluang daftar jadi mahasiswa baru di simandiri gelombang daftar simandiri gel juli informasi resmi daftar mahasiswa baru kunjung web pmbpensacid politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens penskampuslamongan,0,0.72109395
41,selamat tahun baru islam muharram h mari jadi momen ini bagai awal yang baru untuk baik diri kuat iman dan luas baik dan baik kualitas agar wujud cita dan asa lahir calon terus bangsa yang dampak moga tahun ini bawa berkah damai dan maju untuk kita semua aamiin politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens tahunbaruislamh,0,0.6356094
42,dengan semangat buka akses didik yang lebih luas hoshizora foundation sama politeknik elektronika negeri pens laku audiensi kepada dr berry juliandi msi plt direktur belmawa ditjen dikti pada mei dalam audiensi ini kami kenal program beasiswa dari vivoindonesia yaitu vivo nexgen scholars yang beri dukung penuh ukt lama tahun untuk mahasiswa baru d pens tahun ajar audiensi ini jadi wujud nyata kolaborasi antara sektor industri kemdiktisaintek didik tinggi dan organisasi sosial untuk bersamasama cetak generasi muda unggul di bidang teknologi terima kasih dr berry atas dukungannyasemoga makin banyak anak muda yang bisa lang lebih tinggi tuju masa depan berkat akses didik yang tara kemdiktisaintek perguruantinggi audiensi beasiswa vivo vivonexgenscholars beasiswavivo hoshizora hoshizorafoundation mahasiswaberdampak kampusberdampak diktisaintekberdampak,0,0.6728841
43,bangun masa depan dari kampus dampak di jawa timur guru tinggi bukan sekadar ruang akademik tempat ilmu sampai tapi juga ruang hidup yang tumbuh nilai gerak ubah dan semai harap dalam semangat ini paradigma kampus dampak terus dorong dan kuat oleh kemdiktisaintek lalu gera besar diktisaintek dampak pada kamis juni dirjen dikti khairul munadi menghdiri di tiga titik strategis didik tinggi di wilayah jawa timur universitas airlangga politeknik elektronika negeri pens dan lldikti wilayah vii dalam tiap temu dan dialog beliau selalu bawa pesan yang sama kampus harus hadir di tengah masyarakat bagai gerak solusi dan simpul transformasi sosial kampus tidak cukup hanya lahir pikir kritis tetapi harus juga tumbuh pihak yang solutif di tengah tantang besar seperti anggur muda didik senjang kompetensi hingga dinamika revolusi teknologi guru tinggi harap ambil peran aktif bagai mitra pembangunantidak hanya bentuk lulus tetapi juga bentuk arah masa depan lalu paradigma kampus dampak kemdiktisaintek dorong guru tinggi untuk jalin kolaborasi lebih erat dengan dunia usaha perintah daerah dan masyarakat dengan depan nilai inklusivitas adaptabilitas dan manfaat kampuskampus di indonesia masuk di jawa timur harap mampu jawab butuh riil di wilayah sekaligus inspirasi ubah dalam skala yang lebih luas gera ini bukan semata program lain buah panggil moral agar ilmu tidak henti di ruang kelas dan riset tidak akhir di atas kertas kampus harus jadi tempat di mana ide jadi aksi dan inovasi jadi daya bagi masyarakat mari kita kuat tekad untuk jadi didik tinggi bukan hanya tempat timba ilmu tetapi juga ruang untuk tumbuh harap dan cipta dampak nyata bagi indonesia diktisaintekberdampak kampusberdampak kolaborasiberdampak,0,0.6940857
44,dalam semangat penuh optimisme dan kolaborasi politeknik elektronika negeri pens selenggara orasi ilmiah dalam rangka dies natalis ke yang kemas dalam sidang buka senat selasa usung tema semangat kreasi dan sinergi semarak inovasi kuat pens dampak orasi ini sampai oleh prof dr khairul munadi st meng direktur jenderal didik tinggi kemdiktisaintek beliau tegas bahwa refleksi historis sekaligus momentum strategis peran politeknik bagai institusi vokasi unggul nasional yang siap dorong indonesia tuju masa depan emas berita lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak banggapens kampusinovasi dirjendikti diesnatpens,0,0.78492117
45,orasi ilmiah dies natalis ke pens mari bersamasama hadir raya momen spesial dies natalis ke pens sama tokoh inspiratif didik indonesia semangat kreasi dan sinergi semarak inovasi kuat pens dampak narasumber prof dr khoirul munadi st meng direktur jenderal didik tinggi menteri didik tinggi sains dan teknologi selasa juni pukul wib auditorium lt gedung pascasarjana pens live di youtube pens tv jangan lewat momen penuh inspirasi ini untuk luas wawas dan bangun kolaborasi dampak diesnatalispens pensberdampak orasiilmiah kampusinovasi pens diktisaintekberdampak banggapens,0,0.7399909
46,mmb fest is coming siap untuk ledak kreativitas bareng para inspirator hebat rekam ekspresi tanpa batas satu panggung tiga bintang dary muammar content creator yang lagi naik daun jauhari akhmad nur hasimsst mt pakar animasi d dari mmb pens thania wahyu anandita presenter jtv alumni inspiratif sabtu juni mulai pukul wib auditorium lt gedung pascasarjana pens gratis kuota batas buka untuk siapa saja yang mau upgrade skill networking jangan sampai fomo yaa scan qrnya langsung daftar sekarang info lebih lanjut wa email mmbfestivalpensgmailcom mmbfestival pensmmb awardingday personalbranding animasid mmbbangga mmbhebat,0,0.6594789
47,selamat datang mahasiswa baru pens jalur simandiri gelombang siap untuk gabung sama buat inovasi harum nama almamater orang tua hingga negeri segera cek informasi cara resmi dan daftar ulang lalu web pmbpensacid politeknik politeknikjoss pens pensjoss banggapens kampusinovasi diktisaintekberdampak simandiripens,0,0.87676084
48,selamat hari raya idul adha h idul adha ajar kita tentang korban hati yang ajar ikhlas lepas dan tunduk pada ilahi moga tiap korban yang kita laku bawa berkah selamat raya dengan penuh syukur dan peduli politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens iduladhah,0,0.7175468
49,talkshow tajuk napak tilas jadi sorot utama dalam buka dies natalis ke pens yang gelar pada senin di auditorium lt gedung pascasarjana empat direktur dari periode pimpin belum hadir bagai narasumber yaitu prof dr ir mohammad nuh dea prof ir dadet pramadihanto meng phd dr zainal arief st mt dan aliridho barakbah skom phd para narasumber papar bijak capai dan transformasi institusi cara reflektif diskusi ini kuat paham sivitas akademika kena arah kembang pens bagai institusi vokasi teknologi yang adaptif dalam hadap tantang nasional dan global lengkap dapat baca di politeknik politeknikjoss pens pensjoss diktisaintekberdampak kampusinovasi banggapens diesnatalispens,0,0.8119988
50,pens politeknik elektronika negeri jawab yoiki rek politeknik no seasia tenggara praktik teori lab kece koyo game energi manufaktur proposal teliti banyak program d s terap kampus di lamongan sumenep jurus akeh pol teko teknik elektro komputer energi sampek multimedia kreatif simandiri pens sek buka gel prestasi sd juni gel utbk sd juni gel tentatif juli daftar nang pmbpensacid follow instagram penseepis gawe info luwih lanjut tag konco seng butuh info iki,0,0.8196996
51,selamat dan sukses politeknik elektronika negeri tempat urut pertama kampus dengan bidang inovasi baik di indonesia versi scimago sumber bentuk komitmen pens jadi kampus baik dalam inovasi dan cetak lulus kualitas jalur seleksi simandiri pens masih buka informasi daftar mahasiswa baru kunjung politeknik politeknikjoss pens pensjoss banggapens inovasiterbaik scimago,0,0.8834554
